starttime	seconds	ctime	dtime	ttime	wait
Sat Mar 01 18:09:09 2014	1393690149	3	22640	22644	6
Sat Mar 01 18:09:11 2014	1393690151	2	22643	22646	2
Sat Mar 01 18:09:11 2014	1393690151	1	22646	22647	37
Sat Mar 01 18:10:16 2014	1393690216	0	22653	22653	2
Sat Mar 01 18:09:10 2014	1393690150	1	22653	22654	4
Sat Mar 01 18:08:46 2014	1393690126	1	22672	22673	1
Sat Mar 01 18:08:51 2014	1393690131	1	22698	22698	8
Sat Mar 01 18:09:13 2014	1393690153	3	22704	22708	1
Sat Mar 01 18:10:17 2014	1393690217	0	22710	22710	2
Sat Mar 01 18:08:45 2014	1393690125	1	22723	22724	12
Sat Mar 01 18:09:13 2014	1393690153	2	22726	22728	3
Sat Mar 01 18:09:03 2014	1393690143	2	22736	22738	4
Sat Mar 01 18:09:13 2014	1393690153	1	22753	22755	6
Sat Mar 01 18:09:26 2014	1393690166	20	22751	22771	11
Sat Mar 01 18:09:11 2014	1393690151	4	22769	22774	3
Sat Mar 01 18:15:29 2014	1393690529	0	22775	22775	1
Sat Mar 01 18:09:11 2014	1393690151	2	22774	22776	3
Sat Mar 01 18:09:56 2014	1393690196	3	22777	22781	2
Sat Mar 01 18:09:12 2014	1393690152	1	22786	22787	7
Sat Mar 01 18:09:09 2014	1393690149	1	22796	22797	2
Sat Mar 01 18:09:58 2014	1393690198	7	22794	22800	1
Sat Mar 01 18:09:12 2014	1393690152	1	22807	22808	16
Sat Mar 01 18:09:17 2014	1393690157	1	22840	22841	1
Sat Mar 01 18:10:23 2014	1393690223	1	22846	22847	3
Sat Mar 01 18:09:09 2014	1393690149	9	22839	22848	7
Sat Mar 01 18:10:25 2014	1393690225	5	22857	22862	3
Sat Mar 01 18:08:57 2014	1393690137	4	22878	22882	13
Sat Mar 01 18:09:07 2014	1393690147	4	22878	22882	2
Sat Mar 01 18:09:09 2014	1393690149	2	22880	22882	6
Sat Mar 01 18:09:11 2014	1393690151	1	22882	22883	4
Sat Mar 01 18:10:50 2014	1393690250	3	22885	22887	7
Sat Mar 01 18:11:15 2014	1393690275	3	22892	22895	13
Sat Mar 01 18:09:13 2014	1393690153	2	22898	22900	1
Sat Mar 01 18:09:12 2014	1393690152	1	22900	22901	5
Sat Mar 01 18:10:48 2014	1393690248	0	22914	22915	1
Sat Mar 01 18:10:10 2014	1393690210	4	22912	22916	13
Sat Mar 01 18:10:20 2014	1393690220	4	22933	22937	8
Sat Mar 01 18:10:47 2014	1393690247	1	22945	22946	1
Sat Mar 01 18:08:50 2014	1393690130	0	22947	22947	12
Sat Mar 01 18:11:19 2014	1393690279	0	22951	22951	0
Sat Mar 01 18:10:02 2014	1393690202	1	22955	22956	12
Sat Mar 01 18:09:58 2014	1393690198	3	22971	22974	14
Sat Mar 01 18:10:12 2014	1393690212	3	22976	22979	3
Sat Mar 01 18:09:11 2014	1393690151	5	22975	22980	2
Sat Mar 01 18:09:58 2014	1393690198	0	22984	22985	1
Sat Mar 01 18:09:56 2014	1393690196	2	22993	22996	5
Sat Mar 01 18:08:49 2014	1393690129	3	23011	23014	1
Sat Mar 01 18:09:58 2014	1393690198	3	23035	23038	2
Sat Mar 01 18:15:29 2014	1393690529	0	23069	23069	1
Sat Mar 01 18:11:15 2014	1393690275	1	23072	23073	71
Sat Mar 01 18:10:21 2014	1393690221	2	23103	23105	2
Sat Mar 01 18:09:59 2014	1393690199	1	23119	23120	3
Sat Mar 01 18:10:18 2014	1393690218	5	23118	23122	16
Sat Mar 01 18:09:58 2014	1393690198	0	23136	23136	1
Sat Mar 01 18:09:10 2014	1393690150	1	23150	23151	3
Sat Mar 01 18:10:19 2014	1393690219	2	23163	23165	1
Sat Mar 01 18:09:54 2014	1393690194	2	23168	23170	83
Sat Mar 01 18:09:08 2014	1393690148	4	23173	23177	1
Sat Mar 01 18:09:59 2014	1393690199	0	23189	23189	3
Sat Mar 01 18:09:55 2014	1393690195	1	23205	23206	1
Sat Mar 01 18:10:22 2014	1393690222	2	23251	23253	2
Sat Mar 01 18:11:58 2014	1393690318	0	23268	23269	4
Sat Mar 01 18:10:11 2014	1393690211	3	23272	23275	18
Sat Mar 01 18:08:47 2014	1393690127	2	23282	23284	5
Sat Mar 01 18:08:49 2014	1393690129	4	23286	23290	43
Sat Mar 01 18:09:10 2014	1393690150	3	23287	23290	1
Sat Mar 01 18:15:10 2014	1393690510	4	23286	23291	3
Sat Mar 01 18:09:11 2014	1393690151	1	23291	23292	2
Sat Mar 01 18:08:45 2014	1393690125	3	23297	23300	1
Sat Mar 01 18:10:23 2014	1393690223	0	23313	23314	7
Sat Mar 01 18:10:56 2014	1393690256	0	23314	23314	1
Sat Mar 01 18:09:00 2014	1393690140	0	23348	23348	1
Sat Mar 01 18:11:10 2014	1393690270	1	23348	23349	14
Sat Mar 01 18:09:56 2014	1393690196	1	23356	23356	18
Sat Mar 01 18:08:50 2014	1393690130	1	23361	23362	17
Sat Mar 01 18:12:47 2014	1393690367	4	23385	23389	6
Sat Mar 01 18:09:58 2014	1393690198	0	23400	23400	0
Sat Mar 01 18:08:46 2014	1393690126	2	23400	23403	4
Sat Mar 01 18:09:10 2014	1393690150	1	23403	23404	4
Sat Mar 01 18:08:46 2014	1393690126	3	23413	23416	56
Sat Mar 01 18:08:44 2014	1393690124	1	23458	23459	9
Sat Mar 01 18:10:07 2014	1393690207	2	23470	23471	3
Sat Mar 01 18:11:07 2014	1393690267	0	23473	23474	1
Sat Mar 01 18:10:17 2014	1393690217	2	23492	23494	10
Sat Mar 01 18:09:59 2014	1393690199	1	23510	23511	2
